Test,Output,Nominal,Spec,Weight,Pass/Fail
NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
NCL_SYS_06_FBBN_BFX,regA,,,,
NCL_SYS_06_FBBN_BFX,regB,,,,
NCL_SYS_06_FBBN_BFX,regCI,,,,
NCL_SYS_06_FBBN_BFX,VDD_90pc,4.05E-01,,,
NCL_SYS_06_FBBN_BFX,VDD_10pc,4.50E-02,,,
NCL_SYS_06_FBBN_BFX,VNEG_90pc,-4.05E-01,,,
NCL_SYS_06_FBBN_BFX,VNEG_10pc,-4.50E-02,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,1.18E-08,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,1.77E-08,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,2.95E-08,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,2.90E-10,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,2.69E-10,,,
NCL_SYS_06_FBBN_BFX,avg_p_ALL,4.14E-06,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,1.67E-07,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,1.68E-07,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,1.67E-07,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_in,2.32E-07,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_o,1.29E-07,,,
NCL_SYS_06_FBBN_BFX,/DN_out,,,,
NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
NCL_SYS_06_FBBN_BFX,/DN_in,,,,
NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,9.11E-11,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,1.44E-10,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBN_en_delay_R,3.17E-10,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBN_en_delay_F,2.21E-10,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,1.55E-10,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,1.33E-10,,,
NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_R,2.86E-10,,,
NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_F,2.49E-10,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,1.06E-09,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,1.51E-09,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,4.11E-09,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.88E-09,,,
NCL_SYS_06_FBBN_BFX,avg_p_AND,7.02E-09,,,
NCL_SYS_06_FBBN_BFX,avg_p_OR,4.04E-09,,,
NCL_SYS_06_FBBN_BFX,avg_p_BFX,2.18E-07,,,
NCL_SYS_06_FBBN_BFX,avg_p_NLS,5.40E-07,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.58E-09,,,
NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,7.81E-07,,,
