Test,Output,Nominal,Spec,Weight,Pass/Fail
NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
NCL_SYS_06_FBBN_BFX,regA,,,,
NCL_SYS_06_FBBN_BFX,regB,,,,
NCL_SYS_06_FBBN_BFX,regCI,,,,
NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,13.97e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.68e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,31.66e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.2e-12,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,269e-12,,,
NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.859e-6,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,163.1e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,164.8e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,164.7e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_in,232.1e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.8e-9,,,
NCL_SYS_06_FBBN_BFX,/DN_out,,,,
NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
NCL_SYS_06_FBBN_BFX,/DN_in,,,,
NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,69.25e-12,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,131.1e-12,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,157.4e-12,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,121.3e-12,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,906.3e-12,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,1.387e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,3.709e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.896e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_OR,4.052e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_NLS,538.5e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.102e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,553.2e-9,,,

